         35876769 function calls (35708270 primitive calls) in 25.571 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7636    0.004    0.000    0.004    0.000 indexing.py:237(loc)
      562    0.004    0.000    0.173    0.000 <frozen importlib._bootstrap_external>:743(get_code)
     6066    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
    23665    0.003    0.000    0.003    0.000 {pandas._libs.lib.item_from_zerodim}
      393    0.003    0.000    0.022    0.000 abc.py:132(__new__)
       75    0.003    0.000    0.003    0.000 {built-in method nt.listdir}
    23435    0.003    0.000    0.003    0.000 numeric.py:150(is_all_dates)
      589    0.003    0.000    0.015    0.000 inspect.py:1089(getfullargspec)
    15344    0.003    0.000    0.003    0.000 managers.py:375(<dictcomp>)
     1124    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
    35729    0.003    0.000    0.003    0.000 {built-in method math.isnan}
     9219    0.003    0.000    0.007    0.000 _asarray.py:88(asanyarray)
